simple_surname,full_name
"Pizzetti", "Pizzetti, Ildebrando"
"Planquette", "Planquette, Robert"
"Platti", "Platti, Giovanni Benedetto"
"Pleyel", "Pleyel, Ignace"
"Ponce", "Ponce, Manuel"
"Ponchielli", "Ponchielli, Amilcare"
"Popper", "Popper, David"
"Porpora", "Porpora, Nicola"
"Porter", "Porter, Cole"
"Poulenc", "Poulenc, Francis"
"Poulenc", "Poulenc, Francis"
"Pousseur", "Pousseur, Henri"
"Powell", "Powell, John"
"Praetorius", "Praetorius, Michael"
"Pratten", "Pratten, Catharina Josepha"
"Previn", "Previn, André"
"Prokofiev", "Prokofiev, Sergei"
"Prokofiev", "Prokofiev, Sergei"
"Provenzale", "Provenzale, Francesco"
"Puccini", "Puccini, Giacomo"
"Puccini", "Puccini, Giacomo"
"Pugnani", "Pugnani, Gaetano"
"Purcell", "Purcell, Henry"
"Purcell", "Purcell, Henry"
"Quantz", "Quantz, Johann Joachim"
"Quilter", "Quilter, Roger"
"Rachmaninoff", "Rachmaninoff, Sergei"
"Rachmaninoff", "Rachmaninoff, Sergei"
"Raff", "Raff, Joachim"
"Rameau", "Rameau, Jean-Philippe"
"Rameau", "Rameau, Jean-Philippe"
"Rangstrom", "Rangström, Ture"
"Rautavaara", "Rautavaara, Einojuhani"
"Ravel", "Ravel, Maurice"
"Ravel", "Ravel, Maurice"
"Rawsthorne", "Rawsthorne, Alan"
"Read", "Read, Daniel"
"Rebel", "Rebel, Jean-Féry"
"Rebikov", "Rebikov, Vladimir"
"Redman", "Redman, Matt"
"Reger", "Reger, Max"
"Reger", "Reger, Max"
"Reicha", "Reicha, Anton"
"Reichardt", "Reichardt, Johann Friedrich"
"Reiche", "Reiche, Gottfried"
"Reinecke", "Reinecke, Carl"
"Reinken", "Reinken, Jan Adams"
"Reissiger", "Reissiger, Carl Gottlieb"
"RendCollective", "Rend Collective"
"Respighi", "Respighi, Ottorino"
"Respighi", "Respighi, Ottorino"
"Revueltas", "Revueltas, Silvestre"
"Reyer", "Reyer, Ernest"
"Reznicek", "Rezniček, Emil von"
"Reznicek", "Rezniček, Emil von"
"Rheinberger", "Rheinberger, Josef"
"Ricci", "Ricci, Federico"
"Richter", "Richter, Franz Xaver"
"Riddle", "Riddle, Jeremy"
"Ries", "Ries, Ferdinand"
"Rihm", "Rihm, Wolfgang"
"Riley", "Riley, Terry"
"RimskyKorsakov", "Rimsky-Korsakov, Nikolai"
"RimskyKorsakov", "Rimsky-Korsakov, Nikolai"
"Rinck", "Rinck, Christian Heinrich"
"Ritter", "Ritter, Alexander"
"Robinson", "Robinson, Robert"
"Rochberg", "Rochberg, George"
"Rodrigo", "Rodrigo, Joaquín"
"Rodrigo", "Rodrigo, Joaquín"
"RogerDucasse", "Roger-Ducasse, Jean"
"Rogers", "Rogers, Bernard"
"Rolla", "Rolla, Alessandro"
"Roman", "Roman, Johan Helmich"
"RombergA", "Romberg, Andreas"
"RombergB", "Romberg, Bernhard"
"Ropartz", "Ropartz, Guy"
"Rore", "Rore, Cipriano de"
"Rosetti", "Rosetti, Antonio"
"Rosier", "Rosier, Carl"
"Rosner", "Rosner, Arnold"
"Rossi", "Rossi, Luigi"
"Rossini", "Rossini, Gioachino"
"Rossini", "Rossini, Gioachino"
"RossiS", "Rossi, Salomone"
"Rota", "Rota, Nino"
"Rouse", "Rouse, Christopher"
"Rousseau", "Rousseau, Jean-Jacques"
"Roussel", "Roussel, Albert"
"Roussel", "Roussel, Albert"
"Rozsa", "Rózsa, Miklós"
"Rubbra", "Rubbra, Edmund"
"Rubinstein", "Rubinstein, Anton"
"RubinsteinA", "Rubinstein, Anton"
"RubinsteinN", "Rubinstein, Nikolai"
"Rudolph", "Rudolph, Archduke of Austria"
"Ruehr", "Ruehr, Elena"
"Ruggles", "Ruggles, Carl"
"Rutter", "Rutter, John"
"Ryba", "Ryba, Jakub Jan"
"Saariaho", "Saariaho, Kaija"
"Sacchini", "Sacchini, Antonio"
"Sagreras", "Sagreras, Julio Salvador"
"SaintGeorges", "Saint-Georges, Chevalier de"
"SaintSaens", "Saint-Saëns, Camille"
"SaintSaens", "Saint-Saëns, Camille"
"Salieri", "Salieri, Antonio"
"Salieri", "Salieri, Antonio"
"Sallinen", "Sallinen, Aulis"
"Sammartini", "Sammartini, Giovanni Battista"
"Sampson", "Sampson, Marty"
"Sancan", "Sancan, Pierre"
"Sandstrom", "Sandström, Jan"
"Sankey", "Sankey, Ira D."
"Sarasate", "Sarasate, Pablo de"
"Sarasate", "Sarasate, Pablo de"
"Satie", "Satie, Erik"
"Satie", "Satie, Erik"
"Sauguet", "Sauguet, Henri"
"Sauret", "Sauret, Émile"
"Say", "Say, Fazıl"
"ScarlattiA", "Scarlatti, Alessandro"
"ScarlattiA", "Scarlatti, Alessandro"
"ScarlattiD", "Scarlatti, Domenico"
"ScarlattiD", "Scarlatti, Domenico"
"Scelsi", "Scelsi, Giacinto"
"Scharwenka", "Scharwenka, Xaver"
"ScharwenkaP", "Scharwenka, Philipp"
"ScharwenkaX", "Scharwenka, Xaver"
"Scheidemann", "Scheidemann, Heinrich"
"Scheidt", "Scheidt, Samuel"
"Scheidt", "Scheidt, Samuel"
"Schein", "Schein, Johann Hermann"
"Schenk", "Schenk, Johann Baptist"
"Schickele", "Schickele, Peter"
"Schillings", "Schillings, Max von"
"Schmelzer", "Schmelzer, Johann Heinrich"
"Schmitt", "Schmitt, Florent"
"Schmitt", "Schmitt, Florent"
"Schnittke", "Schnittke, Alfred"
"Schobert", "Schobert, Johann"
"Schoenberg", "Schoenberg, Arnold"
"Schoenberg", "Schoenberg, Arnold"
"Schreker", "Schreker, Franz"
"Schubert", "Schubert, Franz"
"Schubert", "Schubert, Franz"
"Schulhoff", "Schulhoff, Ervín"
"Schuman", "Schuman, William"
"Schumann", "Schumann, Robert"
"Schumann", "Schumann, Robert"
"SchumannClara", "Schumann, Clara"
"SchumannClara", "Schumann, Clara"
"Schutz", "Schütz, Heinrich"
"Schutz", "Schütz, Heinrich"
"Schwantner", "Schwantner, Joseph"
"Schwartz", "Schwartz, Stephen"
"Scriabin", "Scriabin, Alexander"
"Scriabin", "Scriabin, Alexander"
"Sculthorpe", "Sculthorpe, Peter"
"Searle", "Searle, Humphrey"
"Sechter", "Sechter, Simon"
"Segerstam", "Segerstam, Leif"
"Seixas", "Seixas, Carlos de"
"Sermisy", "Sermisy, Claudin de"
"Servais", "Servais, Adrien-François"
"Sessions", "Sessions, Roger"
"Sgambati", "Sgambati, Giovanni"
"Shapero", "Shapero, Harold"
"Shapey", "Shapey, Ralph"
"Sharp", "Sharp, Elliott"
"Shchedrin", "Shchedrin, Rodion"
"Shebalin", "Shebalin, Vissarion"
"Sheppard", "Sheppard, John"
"Shore", "Shore, Howard"
"Shostakovich", "Shostakovich, Dmitri"
"Shostakovich", "Shostakovich, Dmitri"
"Sibelius", "Sibelius, Jean"
"Sibelius", "Sibelius, Jean"
"Sierra", "Sierra, Roberto"
"Sinding", "Sinding, Christian"
"Sinding", "Sinding, Christian"
"Smetana", "Smetana, Bedřich"
"Smetana", "Smetana, Bedřich"
"Smith", "Smith, Michael W."
"Smyth", "Smyth, Ethel"
"Soler", "Soler, Antonio"
"Sondheim", "Sondheim, Stephen"
"Sor", "Sor, Fernando"
"Sor", "Sor, Fernando"
"Sorabji", "Sorabji, Kaikhosru Shapurji"
"Sousa", "Sousa, John Philip"
"Sousa", "Sousa, John Philip"
"Spafford", "Spafford, Horatio"
"Spohr", "Spohr, Louis"
"Spohr", "Spohr, Louis"
"Spontini", "Spontini, Gaspare"
"Stainer", "Stainer, John"
"Stamitz", "Stamitz, Carl"
"StamitzC", "Stamitz, Carl"
"StamitzJ", "Stamitz, Johann"
"Stanfill", "Stanfill, Kristian"
"Stanford", "Stanford, Charles Villiers"
"Stanford", "Stanford, Charles Villiers"
"Stanley", "Stanley, John"
"Stebbins", "Stebbins, George C."
"Stenhammar", "Stenhammar, Wilhelm"
"Stenhammar", "Stenhammar, Wilhelm"
"Stennett", "Stennett, Samuel"
"Stephan", "Stephan, Rudi"
"Stevens", "Stevens, Bernard"
"Still", "Still, William Grant"
"Stockhausen", "Stockhausen, Karlheinz"
"Stojowski", "Stojowski, Zygmunt"
"Stone", "Stone, Samuel J."
"Stradella", "Stradella, Alessandro"
"Straus", "Straus, Oscar"
"Strauss", "Strauss, Johann II"
"Strauss", "Strauss, Johann II"
"StraussJohannI", "Strauss, Johann I"
"StraussJohannI", "Strauss, Johann I"
"StraussJohannII", "Strauss, Johann II"
"StraussJohannII", "Strauss, Johann II"
"StraussJosef", "Strauss, Josef"
"StraussJosef", "Strauss, Josef"
"StraussRichard", "Strauss, Richard"
"StraussRichard", "Strauss, Richard"
"Stravinsky", "Stravinsky, Igor"
"Stravinsky", "Stravinsky, Igor"
"Strozzi", "Strozzi, Barbara"
"Strungk", "Strungk, Nicolaus Adam"
"Suk", "Suk, Josef"
"Suk", "Suk, Josef"
"Sullivan", "Sullivan, Arthur"
"Suppe", "Suppé, Franz von"
"Suppe", "Suppé, Franz von"
"Sussmayr", "Süssmayr, Franz Xaver"
"Svendsen", "Svendsen, Johan"
"Svendsen", "Svendsen, Johan"
"Sweelinck", "Sweelinck, Jan Pieterszoon"
"Szymanowski", "Szymanowski, Karol"
"Tailleferre", "Tailleferre, Germaine"
"Takacs", "Takács, Jenő"
"Takemitsu", "Takemitsu, Toru"
"Tallis", "Tallis, Thomas"
"Tallis", "Tallis, Thomas"
"Taneyev", "Taneyev, Sergei"
"Taneyev", "Taneyev, Sergei"
"Tansman", "Tansman, Alexandre"
"Tárrega", "Tárrega, Francisco"
"Tartini", "Tartini, Giuseppe"
"Tartini", "Tartini, Giuseppe"
"Tavener", "Tavener, John"
"Taverner", "Taverner, John"
"Taylor", "Taylor, Deems"
"Tchaikovsky", "Tchaikovsky, Pyotr Ilyich"
"Tchaikovsky", "Tchaikovsky, Pyotr Ilyich"
"Tchesnokov", "Chesnokov, Pavel"
"Telemann", "Telemann, Georg Philipp"
"Telemann", "Telemann, Georg Philipp"
"Thalberg", "Thalberg, Sigismond"
"Thalberg", "Thalberg, Sigismond"
"Theodorakis", "Theodorakis, Mikis"
"Thibaut", "Thibaut IV of Navarre"
"Thomas", "Thomas, Ambroise"
"Thomas", "Thomas, Ambroise"
"Thomson", "Thomson, Virgil"
"Thring", "Thring, Godfrey"
"Thuille", "Thuille, Ludwig"
"Tippett", "Tippett, Michael"
"Tishchenko", "Tishchenko, Boris"
"Toch", "Toch, Ernst"
"Tomasek", "Tomášek, Václav Jan"
"Tomasi", "Tomasi, Henri"
"Tomkins", "Tomkins, Thomas"
"Tomlin", "Tomlin, Chris"
"Toplady", "Toplady, Augustus"
"Torelli", "Torelli, Giuseppe"
"Torelli", "Torelli, Giuseppe"
"Torres", "Torres, José de"
"Torwalt", "Torwalt, Bryan & Katie"
"Tosti", "Tosti, Paolo"
"Tournemire", "Tournemire, Charles"
"Tower", "Tower, Joan"
"Townend", "Townend, Stuart"
"Towner", "Towner, Daniel B."
"Traetta", "Traetta, Tommaso"
"Tubin", "Tubin, Eduard"
"Tunder", "Tunder, Franz"
"Turina", "Turina, Joaquín"
"Turina", "Turina, Joaquín"
"Tye", "Tye, Christopher"
"Uccellini", "Uccellini, Marco"
"Ullmann", "Ullmann, Viktor"
"UnitedPursuit", "United Pursuit"
"Ustvolskaya", "Ustvolskaya, Galina"
"Vaet", "Vaet, Jacobus"
"Valente", "Valente, Antonio"
"Valerius", "Valerius, Adriaen"
"Valls", "Valls, Francisco"
"Vanhal", "Vanhal, Johann Baptist"
"Varese", "Varèse, Edgard"
"VaughanWilliams", "Vaughan Williams, Ralph"
"VaughanWilliams", "Vaughan Williams, Ralph"
"Vecchi", "Vecchi, Orazio"
"Veracini", "Veracini, Francesco Maria"
"Verdelot", "Verdelot, Philippe"
"Verdi", "Verdi, Giuseppe"
"Verdi", "Verdi, Giuseppe"
"VerticalWorship", "Vertical Worship"
"Victoria", "Victoria, Tomás Luis de"
"Victoria", "Victoria, Tomás Luis de"
"Vierne", "Vierne, Louis"
"Vieuxtemps", "Vieuxtemps, Henri"
"VillaLobos", "Villa-Lobos, Heitor"
"VillaLobos", "Villa-Lobos, Heitor"
"Vinci", "Vinci, Leonardo"
"Viola", "Viola, Alfonso della"
"Viotti", "Viotti, Giovanni Battista"
"Viotti", "Viotti, Giovanni Battista"
"Vitali", "Vitali, Tomaso Antonio"
"Vitali", "Vitali, Tomaso Antonio"
"Vitry", "Vitry, Philippe de"
"Vivaldi", "Vivaldi, Antonio"
"Vivaldi", "Vivaldi, Antonio"
"Vives", "Vives, Amadeo"
"Viviani", "Viviani, Giovanni Buonaventura"
"Vogler", "Vogler, Georg Joseph"
"Volkmann", "Volkmann, Robert"
"Vorisek", "Voříšek, Jan Václav"
"Wagenaar", "Wagenaar, Johan"
"Wagner", "Wagner, Richard"
"Wagner", "Wagner, Richard"
"WagnerS", "Wagner, Siegfried"
"Walacinski", "Walaciński, Adam"
"Waldteufel", "Waldteufel, Émile"
"Waldteufel", "Waldteufel, Émile"
"Walker", "Walker, George"
"Wallace", "Wallace, William Vincent"
"Walter", "Walter, Johann"
"Walther", "Walther, Johann Gottfried"
"Walton", "Walton, William"
"Walton", "Walton, William"
"Warlock", "Warlock, Peter"
"Warlock", "Warlock, Peter"
"Warren", "Warren, Elinor Remick"
"Watts", "Watts, Isaac"
"Weber", "Weber, Carl Maria von"
"Weber", "Weber, Carl Maria von"
"Webern", "Webern, Anton"
"Webern", "Webern, Anton"
"Weckmann", "Weckmann, Matthias"
"Weelkes", "Weelkes, Thomas"
"Weigl", "Weigl, Joseph"
"Weinberg", "Weinberg, Mieczysław"
"Weiner", "Weiner, Leó"
"Weir", "Weir, Judith"
"Weiss", "Weiss, Sylvius Leopold"
"Weldon", "Weldon, John"
"Wellesz", "Wellesz, Egon"
"Wesley", "Wesley, Charles"
"WesleyS", "Wesley, Samuel"
"WesleySS", "Wesley, Samuel Sebastian"
"White", "White, Robert"
"Wickham", "Wickham, Phil"
"Widor", "Widor, Charles-Marie"
"Widor", "Widor, Charles-Marie"
"Wieniawski", "Wieniawski, Henryk"
"WieniawskiH", "Wieniawski, Henryk"
"WieniawskiJ", "Wieniawski, Józef"
"Wilbye", "Wilbye, John"
"Willaert", "Willaert, Adrian"
"Williams", "Williams, John"
"Williams", "Williams, William"
"Wilson", "Wilson, John"
"Wirén", "Wirén, Dag"
"Wissmer", "Wissmer, Pierre"
"Wolf", "Wolf, Hugo"
"Wolf", "Wolf, Hugo"
"WolfFerrari", "Wolf-Ferrari, Ermanno"
"WolfFerrari", "Wolf-Ferrari, Ermanno"
"Wolkenstein", "Wolkenstein, Oswald von"
"Wood", "Wood, Charles"
"WoodH", "Wood, Henry"
"Xenakis", "Xenakis, Iannis"
"Yradier", "Yradier, Sebastián"
"Yradier", "Yradier, Sebastián"
"Ysaye", "Ysaÿe, Eugène"
"Ysaye", "Ysaÿe, Eugène"
"Yun", "Yun, Isang"
"Zandonai", "Zandonai, Riccardo"
"Zani", "Zani, Andrea"
"Zappa", "Zappa, Frank"
"Zarebski", "Zarębski, Juliusz"
"Zelenka", "Zelenka, Jan Dismas"
"Zelenka", "Zelenka, Jan Dismas"
"Zeller", "Zeller, Carl"
"Zemlinsky", "Zemlinsky, Alexander von"
"Zemlinsky", "Zemlinsky, Alexander von"
"Ziehrer", "Ziehrer, Carl Michael"
"Zimmermann", "Zimmermann, Bernd Alois"
"Zingarelli", "Zingarelli, Niccolò Antonio"
"Zinzendorf", "Zinzendorf, Nikolaus von"
"Zipoli", "Zipoli, Domenico"
"Zschech", "Zschech, Darlene"
"Zwilich", "Zwilich, Ellen Taaffe"
