simple_surname,full_name
"Dupre", "Dupré, Marcel"
"Durante", "Durante, Francesco"
"Durey", "Durey, Louis"
"Dutilleux", "Dutilleux, Henri"
"Dvorak", "Dvořák, Antonín"
"Dvorak", "Dvořák, Antonín"
"Eccles", "Eccles, Henry"
"ElevationWorship", "Elevation Worship"
"Elgar", "Elgar, Edward"
"Elgar", "Elgar, Edward"
"Eller", "Eller, Heino"
"Ellerton", "Ellerton, John"
"Elliott", "Elliott, Charlotte"
"Enescu", "Enescu, George"
"Enescu", "Enescu, George"
"Ewald", "Ewald, Victor"
"Faber", "Faber, Frederick William"
"Falla", "Falla, Manuel de"
"Falla", "Falla, Manuel de"
"Farnaby", "Farnaby, Giles"
"Fasch", "Fasch, Johann Friedrich"
"Faure", "Fauré, Gabriel"
"Faure", "Fauré, Gabriel"
"Fawcett", "Fawcett, John"
"Fayrfax", "Fayrfax, Robert"
"Feldman", "Feldman, Morton"
"Fernandes", "Fernandes, Gaspar"
"Ferrabosco", "Ferrabosco, Alfonso"
"Fibich", "Fibich, Zdeněk"
"Field", "Field, John"
"Field", "Field, John"
"Fieldes", "Fieldes, Ben"
"Fielding", "Fielding, Reuben"
"Filas", "Filas, Juraj"
"Finzi", "Finzi, Gerald"
"Finzi", "Finzi, Gerald"
"Fiorillo", "Fiorillo, Federigo"
"Fischer", "Fischer, Johann Caspar Ferdinand"
"Flotow", "Flotow, Friedrich von"
"Foerster", "Foerster, Josef Bohuslav"
"Foote", "Foote, Arthur"
"Forqueray", "Forqueray, Antoine"
"Foster", "Foster, Stephen"
"Francaix", "Françaix, Jean"
"Franck", "Franck, César"
"Francoeur", "Francoeur, François"
"Frescobaldi", "Frescobaldi, Girolamo"
"Frescobaldi", "Frescobaldi, Girolamo"
"Froberger", "Froberger, Johann Jakob"
"Fux", "Fux, Johann Joseph"
"Gabriel", "Gabriel, Charles H."
"GabrieliA", "Gabrieli, Andrea"
"GabrieliG", "Gabrieli, Giovanni"
"Gade", "Gade, Niels"
"Gade", "Gade, Niels"
"Galuppi", "Galuppi, Baldassare"
"GaultierD", "Gaultier, Denis"
"GaultierE", "Gaultier, Ennemond"
"Geminiani", "Geminiani, Francesco"
"Gerhardt", "Gerhardt, Paul"
"Gershwin", "Gershwin, George"
"Gershwin", "Gershwin, George"
"Gesualdo", "Gesualdo, Carlo"
"Getty", "Getty, Keith"
"Ghedini", "Ghedini, Giorgio Federico"
"Giannini", "Giannini, Vittorio"
"Gibbons", "Gibbons, Orlando"
"Gibbons", "Gibbons, Orlando"
"Giglio", "Giglio, Louie"
"Gilles", "Gilles, Jean"
"Ginastera", "Ginastera, Alberto"
"Giordani", "Giordani, Tommaso"
"Giordano", "Giordano, Umberto"
"Giuliani", "Giuliani, Mauro"
"Giuliani", "Giuliani, Mauro"
"Glass", "Glass, Philip"
"Glazunov", "Glazunov, Alexander"
"Glazunov", "Glazunov, Alexander"
"Gliere", "Glière, Reinhold"
"Glinka", "Glinka, Mikhail"
"Glinka", "Glinka, Mikhail"
"Gluck", "Gluck, Christoph Willibald"
"Gluck", "Gluck, Christoph Willibald"
"Godard", "Godard, Benjamin"
"Godowsky", "Godowsky, Leopold"
"Goetz", "Goetz, Hermann"
"Goldmark", "Goldmark, Karl"
"Goltermann", "Goltermann, Georg"
"Gombert", "Gombert, Nicolas"
"Gomes", "Gomes, Carlos"
"Goodwin", "Goodwin, Ron"
"Goossens", "Goossens, Eugene"
"Gossec", "Gossec, François-Joseph"
"Gottschalk", "Gottschalk, Louis Moreau"
"Gottschalk", "Gottschalk, Louis Moreau"
"Gould", "Gould, Morton"
"Gounod", "Gounod, Charles"
"Gounod", "Gounod, Charles"
"Grainger", "Grainger, Percy"
"Grainger", "Grainger, Percy"
"Granados", "Granados, Enrique"
"Granados", "Granados, Enrique"
"Grant", "Grant, Robert"
"Graun", "Graun, Carl Heinrich"
"Gretry", "Grétry, André"
"Gretzinger", "Gretzinger, Steffany"
"Grieg", "Grieg, Edvard"
"Grieg", "Grieg, Edvard"
"Griffes", "Griffes, Charles Tomlinson"
"Griffes", "Griffes, Charles Tomlinson"
"Grigny", "Grigny, Nicolas de"
"Grofe", "Grofé, Ferde"
"Grofe", "Grofé, Ferde"
"Guami", "Guami, Gioseffo"
"Guarnieri", "Guarnieri, Camargo"
"Guerrero", "Guerrero, Francisco"
"Guilmant", "Guilmant, Alexandre"
"Gurney", "Gurney, Ivor"
"Hadjidakis", "Hadjidakis, Manos"
"Hahn", "Hahn, Reynaldo"
"Hahn", "Hahn, Reynaldo"
"Halevy", "Halévy, Fromental"
"Halvorsen", "Halvorsen, Johan"
"Handel", "Handel, George Frideric"
"Handel", "Handel, George Frideric"
"Handl", "Handl, Jacob"
"Hanson", "Hanson, Howard"
"Hanson", "Hanson, Howard"
"Harris", "Harris, Roy"
"Harrison", "Harrison, Lou"
"Hart", "Hart, Joseph"
"Harty", "Harty, Hamilton"
"Hasse", "Hasse, Johann Adolph"
"Hassler", "Hassler, Hans Leo"
"Havergal", "Havergal, Frances Ridley"
"Haydn", "Haydn, Joseph"
"Haydn", "Haydn, Joseph"
"HaydnM", "Haydn, Michael"
"HaydnM", "Haydn, Michael"
"Heber", "Heber, Reginald"
"Heiligenthal", "Heiligenthal, Jeremy"
"Helser", "Helser, Jonathan David & Melissa"
"Henze", "Henze, Hans Werner"
"Herbert", "Herbert, Victor"
"Herbert", "Herbert, Victor"
"Herold", "Hérold, Ferdinand"
"Herrmann", "Herrmann, Bernard"
"Hertel", "Hertel, Johann Wilhelm"
"Herz", "Herz, Henri"
"Hess", "Hess, Nigel"
"Hildegard", "Hildegard of Bingen"
"Hillsong", "Hillsong Worship"
"HillsongUnited", "Hillsong United"
"HillsongYoungAndFree", "Hillsong Young & Free"
"Hindemith", "Hindemith, Paul"
"Hindemith", "Hindemith, Paul"
"Hoffmeister", "Hoffmeister, Franz Anton"
"Holborne", "Holborne, Anthony"
"Holler", "Höller, Karl"
"Holmboe", "Holmboe, Vagn"
"Holst", "Holst, Gustav"
"Holst", "Holst, Gustav"
"Honegger", "Honegger, Arthur"
"Honegger", "Honegger, Arthur"
"Hook", "Hook, James"
"Hotteterre", "Hotteterre, Jacques"
"Housefires", "Housefires"
"Houston", "Houston, Joel"
"Hovhaness", "Hovhaness, Alan"
"How", "How, William Walsham"
"Howells", "Howells, Herbert"
"Hubay", "Hubay, Jenő"
"Huber", "Huber, Hans"
"Hughes", "Hughes, Tim"
"Humfrey", "Humfrey, Pelham"
"Hummel", "Hummel, Johann Nepomuk"
"Hummel", "Hummel, Johann Nepomuk"
"Humperdinck", "Humperdinck, Engelbert"
"Humperdinck", "Humperdinck, Engelbert"
"Hurlstone", "Hurlstone, William"
"Husa", "Husa, Karel"
"Ibert", "Ibert, Jacques"
"Ibert", "Ibert, Jacques"
"Indy", "d'Indy, Vincent"
"Indy", "d'Indy, Vincent"
"Infante", "Infante, Manuel"
"IppolitovIvanov", "Ippolitov-Ivanov, Mikhail"
"IppolitovIvanov", "Ippolitov-Ivanov, Mikhail"
"Ireland", "Ireland, John"
"Isaac", "Isaac, Heinrich"
"Ives", "Ives, Charles"
"Ives", "Ives, Charles"
"Jacob", "Jacob, Gordon"
"JacquetdelaGuerre", "Jacquet de la Guerre, Élisabeth"
"Jadin", "Jadin, Hyacinthe"
"Janacek", "Janáček, Leoš"
"Janacek", "Janáček, Leoš"
"Janequin", "Janequin, Clément"
"Jansen", "Jansen, Pierre"
"JaquesDalcroze", "Jaques-Dalcroze, Émile"
"Järnefelt", "Järnefelt, Armas"
"Jenkins", "Jenkins, John"
"Jenkins", "Jenkins, Karl"
"Jensen", "Jensen, Adolf"
"Jessel", "Jessel, Léon"
"JesusCulture", "Jesus Culture"
"Joachim", "Joachim, Joseph"
"Jobe", "Jobe, Kari"
"Johnson", "Johnson, Brian & Jenn"
"Johnson", "Johnson, Robert"
"Jolivet", "Jolivet, André"
"Jommelli", "Jommelli, Niccolò"
"Jongen", "Jongen, Joseph"
"Joplin", "Joplin, Scott"
"Joplin", "Joplin, Scott"
"Josquin", "Josquin des Prez"
"Kabalevsky", "Kabalevsky, Dmitry"
"Kabalevsky", "Kabalevsky, Dmitry"
"Kagel", "Kagel, Mauricio"
"Kalinnikov", "Kalinnikov, Vasily"
"Kalkbrenner", "Kalkbrenner, Friedrich"
"Kalliwoda", "Kalliwoda, Johann Wenzel"
"Kalomiris", "Kalomiris, Manolis"
"Karlowicz", "Karłowicz, Mieczysław"
"Kaski", "Kaski, Heino"
"Kastalsky", "Kastalsky, Alexander"
"KatsChernin", "Kats-Chernin, Elena"
"Kauer", "Kauer, Ferdinand"
"Kayser", "Kayser, Leif"
"Keble", "Keble, John"
"Keiser", "Keiser, Reinhard"
"Kelkel", "Kelkel, Manfred"
"Kellner", "Kellner, Johann Christoph"
